target,model_label,prompt_mode,selection_rule,selected_spec,replicate,coefficient,value
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,19,intercept,-0.6139057070029447
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,19,log_needles,-1.6474460467620717
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,20,intercept,-1.3695149421624924
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,20,log_needles,-2.1866951428874266
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,21,intercept,-1.2942132650575857
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,21,log_needles,-1.8454443970541834
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,22,intercept,-0.4795585086884966
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,22,log_needles,-1.9304649537298044
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,23,intercept,-0.887755146204902
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,23,log_needles,-1.891345289316733
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,24,intercept,-1.239163803294631
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,24,log_needles,-2.188071947339598
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,25,intercept,-0.745128014134165
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,25,log_needles,-1.9204067087283208
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,26,intercept,-0.7944573076730204
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,26,log_needles,-1.945585354285738
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,27,intercept,-0.6831739606318654
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,27,log_needles,-2.089945540835756
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,28,intercept,-1.4827863176784046
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,28,log_needles,-2.284508583958671
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,29,intercept,-0.7514815071264823
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,29,log_needles,-1.8124932146072568
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,30,intercept,-1.1405363917688551
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,30,log_needles,-2.0301657625516554
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,31,intercept,-1.3247415200764843
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,31,log_needles,-2.3181501902328896
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,32,intercept,-0.9030028839990594
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,32,log_needles,-2.039616870674959
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,33,intercept,-0.6727857924263484
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,33,log_needles,-2.1241098545422084
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,34,intercept,-1.1054888473853102
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,34,log_needles,-2.371103218355966
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,35,intercept,-0.5234925866046213
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,35,log_needles,-1.7373339584110183
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,36,intercept,-0.5228543240866612
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,36,log_needles,-1.7059767859156851
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,37,intercept,-0.40567598444668485
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,37,log_needles,-1.5802464190702479
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,38,intercept,-0.9819955616210406
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,38,log_needles,-2.508515508628789
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,39,intercept,-0.6332164511698539
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,39,log_needles,-1.8331898753639055
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,40,intercept,-1.1269852613286004
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,40,log_needles,-2.350739304624954
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,41,intercept,-1.0781565536025146
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,41,log_needles,-2.130754015652722
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,42,intercept,-0.8613545488388559
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,42,log_needles,-1.9867850994707785
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,43,intercept,-0.5989032593948685
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,43,log_needles,-1.656382713984271
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,44,intercept,-0.6012344951248969
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,44,log_needles,-2.3543446214390014
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,45,intercept,-1.0690850643482095
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,45,log_needles,-1.9177865013373414
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,46,intercept,-0.4942759047171464
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,46,log_needles,-1.876806866986359
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,47,intercept,-1.094207061295822
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,47,log_needles,-2.090130703685322
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,48,intercept,-1.0517810935469942
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,48,log_needles,-2.242517133795886
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,49,intercept,-1.3270195715681499
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,49,log_needles,-2.275072883959205
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,50,intercept,-1.0735261014078181
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,50,log_needles,-2.12121552515926
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,51,intercept,-0.9557067581814603
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,51,log_needles,-2.6084341203004318
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,52,intercept,-0.8761591189311531
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,52,log_needles,-1.8401079712130968
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,53,intercept,-0.690118130738791
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,53,log_needles,-1.9787153925557102
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,54,intercept,-0.8741956256897137
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,54,log_needles,-1.7946369708971412
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,55,intercept,-0.4857036667857717
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,55,log_needles,-2.560980629982103
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,56,intercept,-0.9377884327991632
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,56,log_needles,-1.811021951349134
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,57,intercept,-0.5303080017938933
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,57,log_needles,-2.5332458515581138
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,58,intercept,-0.8958988754632257
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,58,log_needles,-2.5282041167277525
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,59,intercept,-0.9639703224551086
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,59,log_needles,-2.4257933167675
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,60,intercept,-0.643318120833506
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,60,log_needles,-2.048931651444665
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,61,intercept,-0.16256946552197776
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,61,log_needles,-1.737075686433827
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,62,intercept,-0.5254894105217386
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,62,log_needles,-2.0715222119044028
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,63,intercept,-0.811664392764444
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,63,log_needles,-2.2992839807544696
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,64,intercept,-1.026278889682691
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,64,log_needles,-1.8446768491427636
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,65,intercept,-0.5916236682427819
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,65,log_needles,-1.8583960498073322
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,66,intercept,-1.0288689043879822
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,66,log_needles,-2.291286745472883
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,67,intercept,-1.0570735421104829
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,67,log_needles,-2.206068068173459
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,68,intercept,-0.4725398065799306
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,68,log_needles,-1.4789061692154222
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,69,intercept,-0.9179847013960153
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,69,log_needles,-1.8546071875122132
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,70,intercept,-0.8334293361592678
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,70,log_needles,-1.8258655486756903
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,71,intercept,-1.1845993577081715
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,71,log_needles,-2.7721986352863497
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,72,intercept,-1.1651691219421154
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,72,log_needles,-2.3167272819309677
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,73,intercept,-0.6938739391268465
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,73,log_needles,-1.5137278094261089
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,74,intercept,-0.8465483117549999
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,74,log_needles,-1.6981885387125482
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,75,intercept,-0.9983049009963016
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,75,log_needles,-1.9724775106389727
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,76,intercept,-0.7336596784172948
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,76,log_needles,-1.6125824985229649
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,77,intercept,-0.44310082591733657
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,77,log_needles,-2.4452730873568926
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,78,intercept,-0.8056036449257559
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,78,log_needles,-3.0289695086146162
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,79,intercept,-0.8768038280291445
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,79,log_needles,-1.6386748720013
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,80,intercept,-1.1920007082624446
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,80,log_needles,-2.0840563601941304
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,81,intercept,-0.3918786997444785
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,81,log_needles,-1.5364431158152014
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,82,intercept,-0.7723036139638981
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,82,log_needles,-2.0638134606625163
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,83,intercept,-1.0180554944859417
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,83,log_needles,-2.671798196764191
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,84,intercept,-0.42189027999194484
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,84,log_needles,-1.8443143890787044
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,85,intercept,-0.7499537770553735
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,85,log_needles,-2.083243751288342
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,86,intercept,-0.8782253811812538
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,86,log_needles,-2.347489486735981
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,87,intercept,-1.2119618568701283
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,87,log_needles,-1.81242723060915
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,88,intercept,-1.1712132694093709
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,88,log_needles,-2.0363721351093402
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,89,intercept,-0.6562958617700619
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,89,log_needles,-1.8062342509327238
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,90,intercept,-0.8624647388360858
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,90,log_needles,-1.878049431294815
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,91,intercept,-1.1264139408609615
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,91,log_needles,-1.9712154759300862
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,92,intercept,-1.0978528907823195
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,92,log_needles,-1.8902679788581098
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,93,intercept,-0.8931332820703402
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,93,log_needles,-2.8277739898132332
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,94,intercept,-0.5413061578237949
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,94,log_needles,-2.0353126574921347
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,95,intercept,-0.9466353617151878
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,95,log_needles,-2.1947449537237236
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,96,intercept,-1.147648571578258
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,96,log_needles,-2.57331539894383
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,97,intercept,-1.0233559068435805
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,97,log_needles,-1.7888527406924912
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,98,intercept,-0.9471585635858528
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,98,log_needles,-2.5606628053827816
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,99,intercept,-1.2436416400464811
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,99,log_needles,-2.761672734354224
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,100,intercept,-0.7448461958305174
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,100,log_needles,-1.652898339947365
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,101,intercept,-0.5214287414258589
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,101,log_needles,-1.9782364700719521
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,102,intercept,-0.8739040592147085
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,102,log_needles,-1.8391384172730096
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,103,intercept,-0.9314265121180796
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,103,log_needles,-2.018876026384683
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,104,intercept,-0.9520908336019605
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,104,log_needles,-1.9058944006659733
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,105,intercept,-1.6139807671227195
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,105,log_needles,-2.6940940632626713
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,106,intercept,-0.7261867635831479
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,106,log_needles,-1.9670143743561235
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,107,intercept,-0.38972394369083946
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,107,log_needles,-1.729053898518667
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,108,intercept,-0.8915285868564377
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,108,log_needles,-2.28676202356946
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,109,intercept,-0.4159728974217492
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,109,log_needles,-1.8457786299385721
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,110,intercept,-0.9584042555362148
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,110,log_needles,-2.2060819275849757
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,111,intercept,-0.5391762822889878
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,111,log_needles,-2.496448847428898
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,112,intercept,-0.5235974313813875
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,112,log_needles,-2.273737887992205
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,113,intercept,-0.9202432233126907
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,113,log_needles,-1.8234580304337695
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,114,intercept,-1.0577204586312656
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,114,log_needles,-2.5256369395760143
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,115,intercept,-1.3907631814548995
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,115,log_needles,-2.049619178353787
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,116,intercept,-0.6951299817999154
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,116,log_needles,-1.5342860357974293
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,117,intercept,-0.7977186870202198
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,117,log_needles,-2.10196869871493
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,118,intercept,-1.1224500026854582
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,118,log_needles,-1.8201841837279966
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,119,intercept,-0.9485289721644181
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,119,log_needles,-1.877951175080867
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,120,intercept,-0.7787282490976751
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,120,log_needles,-1.8756110178033163
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,121,intercept,-0.7766241132077479
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,121,log_needles,-2.4271594827450587
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,122,intercept,-0.9912109371885374
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,122,log_needles,-1.700834080254812
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,123,intercept,-0.9829569494409263
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,123,log_needles,-2.0619920596122636
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,124,intercept,-0.7005174825412526
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,124,log_needles,-2.4126670902852356
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,125,intercept,-1.268290058339373
exact,Qwen3-1.7B,direct,one_se,log_needles_only__identity__logistic__0.3,125,log_needles,-2.880165494507193
